50		
90.0	120 	0.75	10  9.0 0.9
0.000000	0.750000	0.000000
0.510204	0.750000	0.291095
1.020408	0.750000	2.328763
1.530612	0.750000	7.859575
2.040816	0.750000	18.630104
2.551020	0.750000	36.386922
3.061224	0.750000	62.876601
3.571429	0.750000	99.845714
4.081633	0.750000	149.040832
4.591837	0.750000	212.208529
5.102041	0.750000	291.095375
5.612245	0.750000	387.447945
6.122449	0.750000	503.012809
6.632653	0.750000	639.536540
7.142857	0.750000	798.765710
7.653061	0.750000	982.446892
8.163265	0.750000	1192.326658
8.673469	0.750000	1430.151580
9.183673	0.750000	1697.668230
9.693878	0.750000	1996.623180
10.204082	0.750000	2328.763004
10.714286	0.750000	2695.834272
11.224490	0.750000	3099.583558
11.734694	0.750000	3541.757433
12.244898	0.750000	4024.102470
12.755102	0.750000	4548.365242
13.265306	0.750000	5116.292319
13.775510	0.750000	5729.630275
14.285714	0.750000	6390.125682
14.795918	0.750000	7099.525112
15.306122	0.750000	7859.575137
15.816327	0.750000	8672.022330
16.326531	0.750000	9538.613263
16.836735	0.750000	10461.094508
17.346939	0.750000	11441.212637
17.857143	0.750000	12480.714223
18.367347	0.750000	13581.345837
18.877551	0.750000	14744.854053
19.387755	0.750000	15972.985442
19.897959	0.750000	17267.486577
20.408163	0.750000	18630.104029
20.918367	0.750000	20062.584372
21.428571	0.750000	21566.674177
21.938776	0.750000	23144.120017
22.448980	0.750000	24796.668463
22.959184	0.750000	26526.066089
23.469388	0.750000	28334.059466
23.979592	0.750000	30222.395166
24.489796	0.750000	32192.819763
25.000000	0.750000	34247.079828	
