640.00	457.14
640.00	1371.43
640.00	2285.71
640.00	3200.00
640.00	4114.29
640.00	5028.57
640.00	5942.86
1920.00	457.14
1920.00	1371.43
1920.00	2285.71
1920.00	3200.00
1920.00	4114.29
1920.00	5028.57
1920.00	5942.86
3200.00	457.14
3200.00	1371.43
3200.00	2285.71
3200.00	3200.00
3200.00	4114.29
3200.00	5028.57
3200.00	5942.86
4480.00	457.14
4480.00	1371.43
4480.00	2285.71
4480.00	3200.00
4480.00	4114.29
4480.00	5028.57
4480.00	5942.86
5760.00	457.14
5760.00	1371.43
5760.00	2285.71
5760.00	3200.00
5760.00	4114.29
5760.00	5028.57
5760.00	5942.86
