31
150.0 240.0 0.75 15.0
0	0.75	0.0
1	0.75	15.6
2	0.75	124.7
3	0.75	420.8
4	0.75	997.5
5	0.75	1948.3
6	0.75	3366.6
7	0.75	5346.1
8	0.75	7980.1
9	0.75	11362.4
10	0.75	15586.2
11	0.75	20745.3
12	0.75	26933.0
13	0.75	34242.9
14	0.75	42768.6
15	0.75	52603.5
16	0.75	63841.2
17	0.75	76575.1
18	0.75	90898.9
19	0.75	106905.9
20	0.75	124689.8
21	0.75	144344.0
22	0.75	165962.1
23	0.75	189637.6
24	0.75	215464.0
25	0.75	243534.8
26	0.75	273943.5
27	0.75	306783.7
28	0.75	342148.8
29	0.75	380132.5
30	0.75	420828.1
