711.11	492.31
711.11	1476.92
711.11	2461.54
711.11	3446.15
711.11	4430.77
711.11	5415.38
711.11	6400.00
711.11	7384.62
711.11	8369.23
711.11	9353.85
711.11	10338.46
711.11	11323.08
711.11	12307.69
2133.33	492.31
2133.33	1476.92
2133.33	2461.54
2133.33	3446.15
2133.33	4430.77
2133.33	5415.38
2133.33	6400.00
2133.33	7384.62
2133.33	8369.23
2133.33	9353.85
2133.33	10338.46
2133.33	11323.08
2133.33	12307.69
3555.56	492.31
3555.56	1476.92
3555.56	2461.54
3555.56	3446.15
3555.56	4430.77
3555.56	5415.38
3555.56	6400.00
3555.56	7384.62
3555.56	8369.23
3555.56	9353.85
3555.56	10338.46
3555.56	11323.08
3555.56	12307.69
4977.78	492.31
4977.78	1476.92
4977.78	2461.54
4977.78	3446.15
4977.78	4430.77
4977.78	5415.38
4977.78	6400.00
4977.78	7384.62
4977.78	8369.23
4977.78	9353.85
4977.78	10338.46
4977.78	11323.08
4977.78	12307.69
6400.00	492.31
6400.00	1476.92
6400.00	2461.54
6400.00	3446.15
6400.00	4430.77
6400.00	5415.38
6400.00	6400.00
6400.00	7384.62
6400.00	8369.23
6400.00	9353.85
6400.00	10338.46
6400.00	11323.08
6400.00	12307.69
7822.22	492.31
7822.22	1476.92
7822.22	2461.54
7822.22	3446.15
7822.22	4430.77
7822.22	5415.38
7822.22	6400.00
7822.22	7384.62
7822.22	8369.23
7822.22	9353.85
7822.22	10338.46
7822.22	11323.08
7822.22	12307.69
9244.44	492.31
9244.44	1476.92
9244.44	2461.54
9244.44	3446.15
9244.44	4430.77
9244.44	5415.38
9244.44	6400.00
9244.44	7384.62
9244.44	8369.23
9244.44	9353.85
9244.44	10338.46
9244.44	11323.08
9244.44	12307.69
10666.67	492.31
10666.67	1476.92
10666.67	2461.54
10666.67	3446.15
10666.67	4430.77
10666.67	5415.38
10666.67	6400.00
10666.67	7384.62
10666.67	8369.23
10666.67	9353.85
10666.67	10338.46
10666.67	11323.08
10666.67	12307.69
12088.89	492.31
12088.89	1476.92
12088.89	2461.54
12088.89	3446.15
12088.89	4430.77
12088.89	5415.38
12088.89	6400.00
12088.89	7384.62
12088.89	8369.23
12088.89	9353.85
12088.89	10338.46
12088.89	11323.08
12088.89	12307.69
